user_id	movie_id	rating	title	genre	age	gender	occupation
13	526	3	Ben-Hur (1959)	Drama	47	M	educator
13	836	2	Ninotchka (1939)	Romance	47	M	educator
13	272	4	Good Will Hunting (1997)	Drama	47	M	educator
13	98	4	"Silence of the Lambs, The (1991)"	Drama	47	M	educator
13	360	4	Wonderland (1997)	Documentary	47	M	educator
13	198	3	Nikita (La Femme Nikita) (1990)	Thriller	47	M	educator
13	215	5	Field of Dreams (1989)	Drama	47	M	educator
13	56	5	Pulp Fiction (1994)	Crime	47	M	educator
13	344	2	"Apostle, The (1997)"	Drama	47	M	educator
13	186	4	"Blues Brothers, The (1980)"	Comedy	47	M	educator
13	498	4	"African Queen, The (1951)"	Adventure	47	M	educator
13	892	3	Flubber (1997)	Comedy	47	M	educator
13	229	4	Star Trek III: The Search for Spock (1984)	Sci-Fi	47	M	educator
13	864	4	My Fellow Americans (1996)	Comedy	47	M	educator
13	901	1	Mr. Magoo (1997)	Comedy	47	M	educator
13	809	4	Rising Sun (1993)	Drama	47	M	educator
13	823	5	Mulholland Falls (1996)	Film-Noir	47	M	educator
13	780	1	Dumb & Dumber (1994)	Comedy	47	M	educator
13	418	2	Cinderella (1950)	Animation	47	M	educator
13	858	1	Amityville: Dollhouse (1996)	Horror	47	M	educator
13	72	4	"Mask, The (1994)"	Crime	47	M	educator
13	181	5	Return of the Jedi (1983)	Romance	47	M	educator
13	147	3	"Long Kiss Goodnight, The (1996)"	Thriller	47	M	educator
13	868	5	Hearts and Minds (1996)	Drama	47	M	educator
13	195	3	"Terminator, The (1984)"	Sci-Fi	47	M	educator
13	807	1	Poetic Justice (1993)	Drama	47	M	educator
13	121	5	Independence Day (ID4) (1996)	Sci-Fi	47	M	educator
13	308	3	FairyTale: A True Story (1997)	Drama	47	M	educator
13	396	3	Serial Mom (1994)	Crime	47	M	educator
13	66	3	While You Were Sleeping (1995)	Romance	47	M	educator
13	59	4	Three Colors: Red (1994)	Drama	47	M	educator
13	150	5	Swingers (1996)	Drama	47	M	educator
13	354	2	"Wedding Singer, The (1998)"	Comedy	47	M	educator
13	331	3	"Edge, The (1997)"	Thriller	47	M	educator
13	766	4	Man of the Year (1995)	Documentary	47	M	educator
13	14	4	"Postino, Il (1994)"	Drama	47	M	educator
13	320	1	Paradise Lost: The Child Murders at Robin Hood Hills (1996)	Documentary	47	M	educator
13	451	1	Grease (1978)	Comedy	47	M	educator
13	493	5	"Thin Man, The (1934)"	Mystery	47	M	educator
13	289	2	Evita (1996)	Drama	47	M	educator
13	488	3	Sunset Blvd. (1950)	Film-Noir	47	M	educator
13	848	5	"Murder, My Sweet (1944)"	Film-Noir	47	M	educator
13	144	4	Die Hard (1988)	Action	47	M	educator
13	476	2	"First Wives Club, The (1996)"	Comedy	47	M	educator
13	97	4	Dances with Wolves (1990)	Adventure	47	M	educator
13	781	3	French Kiss (1995)	Comedy	47	M	educator
13	338	1	Bean (1997)	Comedy	47	M	educator
13	167	4	Private Benjamin (1980)	Comedy	47	M	educator
13	570	5	Wyatt Earp (1994)	Western	47	M	educator
13	844	1	Freeway (1996)	Crime	47	M	educator
13	685	5	Executive Decision (1996)	Thriller	47	M	educator
13	567	1	Wes Craven's New Nightmare (1994)	Horror	47	M	educator
13	877	2	Excess Baggage (1997)	Romance	47	M	educator
13	480	3	North by Northwest (1959)	Thriller	47	M	educator
13	314	1	3 Ninjas: High Noon At Mega Mountain (1998)	Children's	47	M	educator
13	915	5	Primary Colors (1998)	Drama	47	M	educator
13	226	4	Die Hard 2 (1990)	Thriller	47	M	educator
13	548	3	"NeverEnding Story III, The (1994)"	Fantasy	47	M	educator
13	305	4	"Ice Storm, The (1997)"	Drama	47	M	educator
13	918	3	City of Angels (1998)	Romance	47	M	educator
13	273	3	Heat (1995)	Crime	47	M	educator
13	840	3	Last Man Standing (1996)	Action	47	M	educator
13	178	4	12 Angry Men (1957)	Drama	47	M	educator
13	42	4	Clerks (1994)	Comedy	47	M	educator
13	94	3	Home Alone (1990)	Comedy	47	M	educator
13	908	1	Half Baked (1998)	Comedy	47	M	educator
13	300	1	Air Force One (1997)	Action	47	M	educator
13	180	5	Apocalypse Now (1979)	Drama	47	M	educator
13	29	2	Batman Forever (1995)	Adventure	47	M	educator
13	508	3	"People vs. Larry Flynt, The (1996)"	Drama	47	M	educator
13	45	3	Eat Drink Man Woman (1994)	Comedy	47	M	educator
13	820	4	Space Jam (1996)	Children's	47	M	educator
13	509	5	My Left Foot (1989)	Drama	47	M	educator
13	755	3	Jumanji (1995)	Action	47	M	educator
13	2	3	GoldenEye (1995)	Thriller	47	M	educator
13	830	1	Power 98 (1995)	Mystery	47	M	educator
13	64	5	"Shawshank Redemption, The (1994)"	Drama	47	M	educator
13	859	1	April Fool's Day (1986)	Horror	47	M	educator
13	625	2	"Sword in the Stone, The (1963)"	Children's	47	M	educator
13	428	5	Harold and Maude (1971)	Comedy	47	M	educator
13	913	1	Love and Death on Long Island (1997)	Comedy	47	M	educator
