user_id	movie_id	rating	title	genre	age	gender	occupation
405	56	4	Pulp Fiction (1994)	Crime	22	F	healthcare
405	592	1	True Crime (1995)	Mystery	22	F	healthcare
405	1582	1	T-Men (1947)	Film-Noir	22	F	healthcare
405	171	1	Delicatessen (1991)	Sci-Fi	22	F	healthcare
405	580	1	"Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)"	Comedy	22	F	healthcare
405	1409	1	"Swan Princess, The (1994)"	Children's	22	F	healthcare
405	953	3	Unstrung Heroes (1995)	Comedy	22	F	healthcare
405	994	1	"Last Time I Committed Suicide, The (1997)"	Drama	22	F	healthcare
405	387	1	"Age of Innocence, The (1993)"	Drama	22	F	healthcare
405	1432	1	"Mighty, The (1998)"	Drama	22	F	healthcare
405	190	2	Henry V (1989)	War	22	F	healthcare
405	521	4	"Deer Hunter, The (1978)"	Drama	22	F	healthcare
405	1177	1	Dunston Checks In (1996)	Comedy	22	F	healthcare
405	1503	1	Gold Diggers: The Secret of Bear Mountain (1995)	Children's	22	F	healthcare
405	524	1	"Great Dictator, The (1940)"	Comedy	22	F	healthcare
405	570	1	Wyatt Earp (1994)	Western	22	F	healthcare
405	721	1	Mallrats (1995)	Comedy	22	F	healthcare
405	210	5	Indiana Jones and the Last Crusade (1989)	Action	22	F	healthcare
405	465	1	"Jungle Book, The (1994)"	Adventure	22	F	healthcare
405	692	5	"American President, The (1995)"	Comedy	22	F	healthcare
405	583	1	Romeo Is Bleeding (1993)	Thriller	22	F	healthcare
405	186	5	"Blues Brothers, The (1980)"	Comedy	22	F	healthcare
405	78	2	Free Willy (1993)	Adventure	22	F	healthcare
405	11	4	Seven (Se7en) (1995)	Crime	22	F	healthcare
405	1578	1	"Collectionneuse, La (1967)"	Drama	22	F	healthcare
405	787	3	Roommates (1995)	Drama	22	F	healthcare
405	414	1	My Favorite Year (1982)	Comedy	22	F	healthcare
405	172	5	"Empire Strikes Back, The (1980)"	Drama	22	F	healthcare
405	430	1	Duck Soup (1933)	Comedy	22	F	healthcare
405	773	1	Mute Witness (1994)	Thriller	22	F	healthcare
405	178	3	12 Angry Men (1957)	Drama	22	F	healthcare
405	647	1	Ran (1985)	Drama	22	F	healthcare
405	789	1	Swimming with Sharks (1995)	Drama	22	F	healthcare
405	1118	1	Up in Smoke (1978)	Comedy	22	F	healthcare
405	426	1	"Transformers: The Movie, The (1986)"	Thriller	22	F	healthcare
405	1338	1	Two Deaths (1995)	Drama	22	F	healthcare
405	1554	4	Safe Passage (1994)	Drama	22	F	healthcare
405	656	1	M (1931)	Film-Noir	22	F	healthcare
405	1561	1	Tigrero: A Film That Was Never Made (1994)	Drama	22	F	healthcare
405	440	1	Amityville II: The Possession (1982)	Horror	22	F	healthcare
405	722	1	Nine Months (1995)	Comedy	22	F	healthcare
405	540	1	Money Train (1995)	Action	22	F	healthcare
405	997	1	Stuart Saves His Family (1995)	Comedy	22	F	healthcare
405	232	4	Young Guns (1988)	Comedy	22	F	healthcare
405	1100	1	What Happened Was... (1994)	Romance	22	F	healthcare
405	442	1	"Amityville Curse, The (1990)"	Horror	22	F	healthcare
405	72	3	"Mask, The (1994)"	Crime	22	F	healthcare
405	135	5	2001: A Space Odyssey (1968)	Mystery	22	F	healthcare
405	700	1	Miami Rhapsody (1995)	Comedy	22	F	healthcare
405	1434	1	Shooting Fish (1997)	Romance	22	F	healthcare
405	96	3	Terminator 2: Judgment Day (1991)	Sci-Fi	22	F	healthcare
405	1565	1	Daens (1992)	Drama	22	F	healthcare
405	734	2	Made in America (1993)	Comedy	22	F	healthcare
405	1469	1	Tom and Huck (1995)	Adventure	22	F	healthcare
405	964	1	"Month by the Lake, A (1995)"	Drama	22	F	healthcare
405	1250	1	Best of the Best 3: No Turning Back (1995)	Action	22	F	healthcare
405	214	4	Pink Floyd - The Wall (1982)	Musical	22	F	healthcare
405	450	1	Star Trek V: The Final Frontier (1989)	Action	22	F	healthcare
405	127	5	"Godfather, The (1972)"	Action	22	F	healthcare
405	719	1	Canadian Bacon (1994)	Comedy	22	F	healthcare
405	90	4	So I Married an Axe Murderer (1993)	Romance	22	F	healthcare
405	1230	1	Ready to Wear (Pret-A-Porter) (1994)	Comedy	22	F	healthcare
405	206	1	Akira (1988)	Animation	22	F	healthcare
405	1531	1	Far From Home: The Adventures of Yellow Dog (1995)	Adventure	22	F	healthcare
405	695	1	Kicking and Screaming (1995)	Drama	22	F	healthcare
405	92	1	True Romance (1993)	Romance	22	F	healthcare
405	1176	3	Welcome To Sarajevo (1997)	Drama	22	F	healthcare
405	639	1	"Tin Drum, The (Blechtrommel, Die) (1979)"	Drama	22	F	healthcare
405	366	3	Dangerous Minds (1995)	Drama	22	F	healthcare
405	470	1	Tombstone (1993)	Western	22	F	healthcare
405	1555	1	"Secret Adventures of Tom Thumb, The (1993)"	Children's	22	F	healthcare
405	699	2	Little Women (1994)	Drama	22	F	healthcare
405	575	5	City Slickers II: The Legend of Curly's Gold (1994)	Comedy	22	F	healthcare
405	422	1	Aladdin and the King of Thieves (1996)	Children's	22	F	healthcare
405	1353	1	1-900 (1994)	Romance	22	F	healthcare
405	1227	3	"Awfully Big Adventure, An (1995)"	Drama	22	F	healthcare
405	451	5	Grease (1978)	Comedy	22	F	healthcare
405	1188	3	Young Guns II (1990)	Comedy	22	F	healthcare
405	1207	1	Jade (1995)	Thriller	22	F	healthcare
405	230	2	Star Trek IV: The Voyage Home (1986)	Sci-Fi	22	F	healthcare
405	62	1	Stargate (1994)	Sci-Fi	22	F	healthcare
405	771	1	Johnny Mnemonic (1995)	Action	22	F	healthcare
405	1247	1	Bad Girls (1994)	Western	22	F	healthcare
